position,column,inferred_type,non_missing_count,missing_count,missing_pct,unique_count,unique_pct_non_missing,is_all_missing,is_constant_non_missing,is_unique_non_missing,min,max,mean,top_values
107,fin33,integer,372,679,64.6051,3,0.8065,False,False,False,1,4,1.706989247311827956989247312,"[{""value"": ""2"", ""count"": 260}, {""value"": ""1"", ""count"": 111}, {""value"": ""4"", ""count"": 1}]"
108,fin34a,integer,372,679,64.6051,3,0.8065,False,False,False,1,4,1.438172043010752688172043011,"[{""value"": ""1"", ""count"": 211}, {""value"": ""2"", ""count"": 160}, {""value"": ""4"", ""count"": 1}]"
109,fin34b,integer,372,679,64.6051,3,0.8065,False,False,False,1,4,1.567204301075268817204301075,"[{""value"": ""2"", ""count"": 208}, {""value"": ""1"", ""count"": 163}, {""value"": ""4"", ""count"": 1}]"
110,fin34c,integer,93,958,91.1513,3,3.2258,False,False,False,1,4,1.247311827956989247311827957,"[{""value"": ""1"", ""count"": 72}, {""value"": ""2"", ""count"": 20}, {""value"": ""4"", ""count"": 1}]"
111,fin34d,integer,21,1030,98.0019,3,14.2857,False,False,False,1,4,1.952380952380952380952380952,"[{""value"": ""2"", ""count"": 17}, {""value"": ""1"", ""count"": 3}, {""value"": ""4"", ""count"": 1}]"
112,fin35,integer,282,769,73.1684,3,1.0638,False,False,False,1,3,1.663120567375886524822695035,"[{""value"": ""2"", ""count"": 159}, {""value"": ""1"", ""count"": 109}, {""value"": ""3"", ""count"": 14}]"
113,fin36,integer,282,769,73.1684,4,1.4184,False,False,False,1,4,1.602836879432624113475177305,"[{""value"": ""2"", ""count"": 140}, {""value"": ""1"", ""count"": 129}, {""value"": ""3"", ""count"": 9}, {""value"": ""4"", ""count"": 4}]"
114,fin36a,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
115,fin37,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.826831588962892483349191246,"[{""value"": ""2"", ""count"": 852}, {""value"": ""1"", ""count"": 192}, {""value"": ""3"", ""count"": 4}, {""value"": ""4"", ""count"": 3}]"
116,fin38,integer,1051,0,0.0,4,0.3806,False,False,False,1,4,1.918173168411037107516650809,"[{""value"": ""2"", ""count"": 950}, {""value"": ""1"", ""count"": 94}, {""value"": ""3"", ""count"": 6}, {""value"": ""4"", ""count"": 1}]"
117,fin39a,integer,236,815,77.5452,2,0.8475,False,False,False,1,2,1.605932203389830508474576271,"[{""value"": ""2"", ""count"": 143}, {""value"": ""1"", ""count"": 93}]"
118,fin39b,integer,236,815,77.5452,3,1.2712,False,False,False,1,3,1.601694915254237288135593220,"[{""value"": ""2"", ""count"": 140}, {""value"": ""1"", ""count"": 95}, {""value"": ""3"", ""count"": 1}]"
119,fin39c,integer,105,946,90.0095,2,1.9048,False,False,False,1,2,1.895238095238095238095238095,"[{""value"": ""2"", ""count"": 94}, {""value"": ""1"", ""count"": 11}]"
120,fin39d,integer,94,957,91.0561,3,3.1915,False,False,False,1,3,1.925531914893617021276595745,"[{""value"": ""2"", ""count"": 85}, {""value"": ""1"", ""count"": 8}, {""value"": ""3"", ""count"": 1}]"
121,fin40,integer,139,912,86.7745,5,3.5971,False,False,False,1,5,1.597122302158273381294964029,"[{""value"": ""1"", ""count"": 77}, {""value"": ""2"", ""count"": 50}, {""value"": ""4"", ""count"": 7}, {""value"": ""3"", ""count"": 4}, {""value"": ""5"", ""count"": 1}]"
122,fin41,integer,139,912,86.7745,3,2.1583,False,False,False,1,3,1.913669064748201438848920863,"[{""value"": ""2"", ""count"": 93}, {""value"": ""1"", ""count"": 29}, {""value"": ""3"", ""count"": 17}]"
123,fin41a,empty,0,1051,100.0,0,0.0,True,True,False,,,,[]
